Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.836605e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011339 | lrm: 1.00 | dt: 17144ms | tok/sec: 15,290 | mfu: 0.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.198366 | lrm: 1.00 | dt: 267ms | tok/sec: 983,455 | mfu: 48.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.967963 | lrm: 1.00 | dt: 269ms | tok/sec: 976,264 | mfu: 47.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.587312 | lrm: 1.00 | dt: 268ms | tok/sec: 976,472 | mfu: 47.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.188800 | lrm: 1.00 | dt: 292ms | tok/sec: 899,246 | mfu: 44.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.812836 | lrm: 1.00 | dt: 272ms | tok/sec: 962,194 | mfu: 47.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.507217 | lrm: 1.00 | dt: 272ms | tok/sec: 963,545 | mfu: 47.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.261497 | lrm: 1.00 | dt: 282ms | tok/sec: 928,171 | mfu: 45.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.045590 | lrm: 1.00 | dt: 283ms | tok/sec: 927,007 | mfu: 45.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.861457 | lrm: 1.00 | dt: 273ms | tok/sec: 961,867 | mfu: 47.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.706606 | lrm: 1.00 | dt: 272ms | tok/sec: 963,208 | mfu: 47.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.568755 | lrm: 1.00 | dt: 284ms | tok/sec: 921,607 | mfu: 45.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.442578 | lrm: 1.00 | dt: 279ms | tok/sec: 939,986 | mfu: 45.9% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.340682 | lrm: 1.00 | dt: 273ms | tok/sec: 961,937 | mfu: 47.0% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.246238 | lrm: 1.00 | dt: 278ms | tok/sec: 941,802 | mfu: 46.0% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 6.162385 | lrm: 1.00 | dt: 283ms | tok/sec: 926,848 | mfu: 45.3% | epoch: 1 | remaining: 299s    
step 00016 (0.5%) | loss: 6.090659 | lrm: 1.00 | dt: 277ms | tok/sec: 946,413 | mfu: 46.3% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 6.021805 | lrm: 1.00 | dt: 274ms | tok/sec: 957,636 | mfu: 46.8% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 5.958593 | lrm: 1.00 | dt: 281ms | tok/sec: 933,711 | mfu: 45.6% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 5.901602 | lrm: 1.00 | dt: 281ms | tok/sec: 933,189 | mfu: 45.6% | epoch: 1 | remaining: 297s    
step 00020 (0.8%) | loss: 5.849924 | lrm: 1.00 | dt: 275ms | tok/sec: 951,980 | mfu: 46.5% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 5.799810 | lrm: 1.00 | dt: 278ms | tok/sec: 944,591 | mfu: 46.2% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 5.759690 | lrm: 1.00 | dt: 280ms | tok/sec: 936,762 | mfu: 45.8% | epoch: 1 | remaining: 297s    
step 00023 (1.1%) | loss: 5.718425 | lrm: 1.00 | dt: 277ms | tok/sec: 946,423 | mfu: 46.3% | epoch: 1 | remaining: 296s    
step 00024 (1.2%) | loss: 5.682520 | lrm: 1.00 | dt: 275ms | tok/sec: 953,579 | mfu: 46.6% | epoch: 1 | remaining: 296s    
step 00025 (1.3%) | loss: 5.645760 | lrm: 1.00 | dt: 278ms | tok/sec: 942,825 | mfu: 46.1% | epoch: 1 | remaining: 296s    
step 00026 (1.4%) | loss: 5.614328 | lrm: 1.00 | dt: 281ms | tok/sec: 933,962 | mfu: 45.7% | epoch: 1 | remaining: 296s    
step 00027 (1.5%) | loss: 5.582454 | lrm: 1.00 | dt: 277ms | tok/sec: 946,603 | mfu: 46.3% | epoch: 1 | remaining: 295s    
step 00028 (1.6%) | loss: 5.556023 | lrm: 1.00 | dt: 286ms | tok/sec: 917,785 | mfu: 44.9% | epoch: 1 | remaining: 295s    
step 00029 (1.7%) | loss: 5.525995 | lrm: 1.00 | dt: 277ms | tok/sec: 946,804 | mfu: 46.3% | epoch: 1 | remaining: 295s    
step 00030 (1.8%) | loss: 5.493721 | lrm: 1.00 | dt: 277ms | tok/sec: 947,024 | mfu: 46.3% | epoch: 1 | remaining: 294s    
step 00031 (1.9%) | loss: 5.468328 | lrm: 1.00 | dt: 278ms | tok/sec: 944,062 | mfu: 46.1% | epoch: 1 | remaining: 294s    
step 00032 (1.9%) | loss: 5.442566 | lrm: 1.00 | dt: 276ms | tok/sec: 949,240 | mfu: 46.4% | epoch: 1 | remaining: 294s    
step 00033 (2.0%) | loss: 5.420181 | lrm: 1.00 | dt: 280ms | tok/sec: 934,675 | mfu: 45.7% | epoch: 1 | remaining: 294s    
step 00034 (2.1%) | loss: 5.393855 | lrm: 1.00 | dt: 279ms | tok/sec: 939,999 | mfu: 45.9% | epoch: 1 | remaining: 293s    
step 00035 (2.2%) | loss: 5.366417 | lrm: 1.00 | dt: 277ms | tok/sec: 946,280 | mfu: 46.3% | epoch: 1 | remaining: 293s    
step 00036 (2.3%) | loss: 5.340349 | lrm: 1.00 | dt: 277ms | tok/sec: 947,993 | mfu: 46.3% | epoch: 1 | remaining: 293s    
step 00037 (2.4%) | loss: 5.316424 | lrm: 1.00 | dt: 279ms | tok/sec: 938,322 | mfu: 45.9% | epoch: 1 | remaining: 292s    
step 00038 (2.5%) | loss: 5.290664 | lrm: 1.00 | dt: 278ms | tok/sec: 942,704 | mfu: 46.1% | epoch: 1 | remaining: 292s    
step 00039 (2.6%) | loss: 5.266924 | lrm: 1.00 | dt: 279ms | tok/sec: 940,379 | mfu: 46.0% | epoch: 1 | remaining: 292s    
step 00040 (2.7%) | loss: 5.246462 | lrm: 1.00 | dt: 279ms | tok/sec: 940,468 | mfu: 46.0% | epoch: 1 | remaining: 292s    
step 00041 (2.8%) | loss: 5.221801 | lrm: 1.00 | dt: 278ms | tok/sec: 944,161 | mfu: 46.1% | epoch: 1 | remaining: 291s    
step 00042 (2.9%) | loss: 5.201488 | lrm: 1.00 | dt: 279ms | tok/sec: 940,372 | mfu: 46.0% | epoch: 1 | remaining: 291s    
step 00043 (3.0%) | loss: 5.175365 | lrm: 1.00 | dt: 279ms | tok/sec: 940,678 | mfu: 46.0% | epoch: 1 | remaining: 291s    
step 00044 (3.1%) | loss: 5.152534 | lrm: 1.00 | dt: 278ms | tok/sec: 944,630 | mfu: 46.2% | epoch: 1 | remaining: 291s    
step 00045 (3.2%) | loss: 5.132705 | lrm: 1.00 | dt: 279ms | tok/sec: 941,126 | mfu: 46.0% | epoch: 1 | remaining: 290s    
step 00046 (3.2%) | loss: 5.108102 | lrm: 1.00 | dt: 277ms | tok/sec: 947,123 | mfu: 46.3% | epoch: 1 | remaining: 290s    
step 00047 (3.3%) | loss: 5.081376 | lrm: 1.00 | dt: 276ms | tok/sec: 950,998 | mfu: 46.5% | epoch: 1 | remaining: 290s    
step 00048 (3.4%) | loss: 5.057085 | lrm: 1.00 | dt: 277ms | tok/sec: 947,732 | mfu: 46.3% | epoch: 1 | remaining: 289s    
step 00049 (3.5%) | loss: 5.033417 | lrm: 1.00 | dt: 278ms | tok/sec: 942,348 | mfu: 46.1% | epoch: 1 | remaining: 289s    
step 00050 (3.6%) | loss: 5.011105 | lrm: 1.00 | dt: 278ms | tok/sec: 943,836 | mfu: 46.1% | epoch: 1 | remaining: 289s    
step 00051 (3.7%) | loss: 4.986766 | lrm: 1.00 | dt: 278ms | tok/sec: 942,091 | mfu: 46.0% | epoch: 1 | remaining: 289s    
step 00052 (3.8%) | loss: 4.965713 | lrm: 1.00 | dt: 280ms | tok/sec: 936,850 | mfu: 45.8% | epoch: 1 | remaining: 288s    
step 00053 (3.9%) | loss: 4.945068 | lrm: 1.00 | dt: 280ms | tok/sec: 935,428 | mfu: 45.7% | epoch: 1 | remaining: 288s    
step 00054 (4.0%) | loss: 4.919105 | lrm: 1.00 | dt: 278ms | tok/sec: 943,678 | mfu: 46.1% | epoch: 1 | remaining: 288s    
step 00055 (4.1%) | loss: 4.900327 | lrm: 1.00 | dt: 278ms | tok/sec: 943,642 | mfu: 46.1% | epoch: 1 | remaining: 287s    
step 00056 (4.2%) | loss: 4.881762 | lrm: 1.00 | dt: 278ms | tok/sec: 944,252 | mfu: 46.2% | epoch: 1 | remaining: 287s    
step 00057 (4.3%) | loss: 4.862068 | lrm: 1.00 | dt: 278ms | tok/sec: 942,532 | mfu: 46.1% | epoch: 1 | remaining: 287s    
step 00058 (4.4%) | loss: 4.838718 | lrm: 1.00 | dt: 277ms | tok/sec: 944,678 | mfu: 46.2% | epoch: 1 | remaining: 287s    
step 00059 (4.5%) | loss: 4.819391 | lrm: 1.00 | dt: 277ms | tok/sec: 945,796 | mfu: 46.2% | epoch: 1 | remaining: 286s    
step 00060 (4.5%) | loss: 4.800697 | lrm: 1.00 | dt: 278ms | tok/sec: 942,805 | mfu: 46.1% | epoch: 1 | remaining: 286s    
step 00061 (4.6%) | loss: 4.775664 | lrm: 1.00 | dt: 277ms | tok/sec: 946,606 | mfu: 46.3% | epoch: 1 | remaining: 286s    
step 00062 (4.7%) | loss: 4.753877 | lrm: 1.00 | dt: 277ms | tok/sec: 946,181 | mfu: 46.2% | epoch: 1 | remaining: 286s    
step 00063 (4.8%) | loss: 4.735593 | lrm: 1.00 | dt: 278ms | tok/sec: 943,466 | mfu: 46.1% | epoch: 1 | remaining: 285s    
step 00064 (4.9%) | loss: 4.711646 | lrm: 1.00 | dt: 277ms | tok/sec: 946,030 | mfu: 46.2% | epoch: 1 | remaining: 285s    
step 00065 (5.0%) | loss: 4.689225 | lrm: 1.00 | dt: 277ms | tok/sec: 946,819 | mfu: 46.3% | epoch: 1 | remaining: 285s    
step 00066 (5.1%) | loss: 4.670946 | lrm: 1.00 | dt: 278ms | tok/sec: 942,774 | mfu: 46.1% | epoch: 1 | remaining: 284s    
step 00067 (5.2%) | loss: 4.658089 | lrm: 1.00 | dt: 277ms | tok/sec: 945,654 | mfu: 46.2% | epoch: 1 | remaining: 284s    
step 00068 (5.3%) | loss: 4.636543 | lrm: 1.00 | dt: 277ms | tok/sec: 946,484 | mfu: 46.3% | epoch: 1 | remaining: 284s    
step 00069 (5.4%) | loss: 4.615510 | lrm: 1.00 | dt: 279ms | tok/sec: 938,938 | mfu: 45.9% | epoch: 1 | remaining: 284s    
step 00070 (5.5%) | loss: 4.592663 | lrm: 1.00 | dt: 288ms | tok/sec: 909,034 | mfu: 44.4% | epoch: 1 | remaining: 283s    
step 00071 (5.6%) | loss: 4.573866 | lrm: 1.00 | dt: 274ms | tok/sec: 956,552 | mfu: 46.8% | epoch: 1 | remaining: 283s    
step 00072 (5.7%) | loss: 4.552227 | lrm: 1.00 | dt: 276ms | tok/sec: 950,168 | mfu: 46.4% | epoch: 1 | remaining: 283s    
step 00073 (5.7%) | loss: 4.529548 | lrm: 1.00 | dt: 278ms | tok/sec: 941,641 | mfu: 46.0% | epoch: 1 | remaining: 282s    
step 00074 (5.8%) | loss: 4.508938 | lrm: 1.00 | dt: 281ms | tok/sec: 931,517 | mfu: 45.5% | epoch: 1 | remaining: 282s    
step 00075 (5.9%) | loss: 4.488240 | lrm: 1.00 | dt: 275ms | tok/sec: 953,777 | mfu: 46.6% | epoch: 1 | remaining: 282s    
step 00076 (6.0%) | loss: 4.469070 | lrm: 1.00 | dt: 277ms | tok/sec: 944,975 | mfu: 46.2% | epoch: 1 | remaining: 282s    
step 00077 (6.1%) | loss: 4.449840 | lrm: 1.00 | dt: 278ms | tok/sec: 942,116 | mfu: 46.0% | epoch: 1 | remaining: 281s    
step 00078 (6.2%) | loss: 4.432422 | lrm: 1.00 | dt: 277ms | tok/sec: 946,301 | mfu: 46.3% | epoch: 1 | remaining: 281s    
step 00079 (6.3%) | loss: 4.413637 | lrm: 1.00 | dt: 275ms | tok/sec: 951,844 | mfu: 46.5% | epoch: 1 | remaining: 281s    
step 00080 (6.4%) | loss: 4.387197 | lrm: 1.00 | dt: 277ms | tok/sec: 946,737 | mfu: 46.3% | epoch: 1 | remaining: 281s    
step 00081 (6.5%) | loss: 4.367492 | lrm: 1.00 | dt: 279ms | tok/sec: 940,769 | mfu: 46.0% | epoch: 1 | remaining: 280s    
step 00082 (6.6%) | loss: 4.341035 | lrm: 1.00 | dt: 277ms | tok/sec: 945,963 | mfu: 46.2% | epoch: 1 | remaining: 280s    
step 00083 (6.7%) | loss: 4.321964 | lrm: 1.00 | dt: 276ms | tok/sec: 948,176 | mfu: 46.3% | epoch: 1 | remaining: 280s    
step 00084 (6.8%) | loss: 4.298287 | lrm: 1.00 | dt: 277ms | tok/sec: 947,062 | mfu: 46.3% | epoch: 1 | remaining: 279s    
step 00085 (6.9%) | loss: 4.280522 | lrm: 1.00 | dt: 276ms | tok/sec: 951,451 | mfu: 46.5% | epoch: 1 | remaining: 279s    
step 00086 (6.9%) | loss: 4.264593 | lrm: 1.00 | dt: 276ms | tok/sec: 948,409 | mfu: 46.4% | epoch: 1 | remaining: 279s    
step 00087 (7.0%) | loss: 4.248382 | lrm: 1.00 | dt: 279ms | tok/sec: 940,885 | mfu: 46.0% | epoch: 1 | remaining: 279s    
step 00088 (7.1%) | loss: 4.218154 | lrm: 1.00 | dt: 281ms | tok/sec: 934,459 | mfu: 45.7% | epoch: 1 | remaining: 278s    
step 00089 (7.2%) | loss: 4.199451 | lrm: 1.00 | dt: 279ms | tok/sec: 938,084 | mfu: 45.9% | epoch: 1 | remaining: 278s    
step 00090 (7.3%) | loss: 4.182818 | lrm: 1.00 | dt: 276ms | tok/sec: 948,925 | mfu: 46.4% | epoch: 1 | remaining: 278s    
step 00091 (7.4%) | loss: 4.170376 | lrm: 1.00 | dt: 277ms | tok/sec: 945,219 | mfu: 46.2% | epoch: 1 | remaining: 277s    
step 00092 (7.5%) | loss: 4.151037 | lrm: 1.00 | dt: 277ms | tok/sec: 945,316 | mfu: 46.2% | epoch: 1 | remaining: 277s    
step 00093 (7.6%) | loss: 4.132229 | lrm: 1.00 | dt: 277ms | tok/sec: 946,974 | mfu: 46.3% | epoch: 1 | remaining: 277s    
step 00094 (7.7%) | loss: 4.117139 | lrm: 1.00 | dt: 276ms | tok/sec: 950,410 | mfu: 46.5% | epoch: 1 | remaining: 277s    
step 00095 (7.8%) | loss: 4.091080 | lrm: 1.00 | dt: 277ms | tok/sec: 944,853 | mfu: 46.2% | epoch: 1 | remaining: 276s    
step 00096 (7.9%) | loss: 4.069022 | lrm: 1.00 | dt: 278ms | tok/sec: 941,809 | mfu: 46.0% | epoch: 1 | remaining: 276s    
step 00097 (8.0%) | loss: 4.059092 | lrm: 1.00 | dt: 277ms | tok/sec: 947,783 | mfu: 46.3% | epoch: 1 | remaining: 276s    
step 00098 (8.1%) | loss: 4.041768 | lrm: 1.00 | dt: 278ms | tok/sec: 942,783 | mfu: 46.1% | epoch: 1 | remaining: 276s    
step 00099 (8.2%) | loss: 4.022206 | lrm: 1.00 | dt: 278ms | tok/sec: 941,826 | mfu: 46.0% | epoch: 1 | remaining: 275s    
step 00100 (8.2%) | loss: 4.007446 | lrm: 1.00 | dt: 278ms | tok/sec: 942,307 | mfu: 46.1% | epoch: 1 | remaining: 275s    
step 00101 (8.3%) | loss: 3.992071 | lrm: 1.00 | dt: 276ms | tok/sec: 949,704 | mfu: 46.4% | epoch: 1 | remaining: 275s    
step 00102 (8.4%) | loss: 3.978078 | lrm: 1.00 | dt: 276ms | tok/sec: 948,180 | mfu: 46.3% | epoch: 1 | remaining: 274s    
step 00103 (8.5%) | loss: 3.967405 | lrm: 1.00 | dt: 277ms | tok/sec: 945,461 | mfu: 46.2% | epoch: 1 | remaining: 274s    
step 00104 (8.6%) | loss: 3.949444 | lrm: 1.00 | dt: 277ms | tok/sec: 946,317 | mfu: 46.3% | epoch: 1 | remaining: 274s    
step 00105 (8.7%) | loss: 3.937297 | lrm: 1.00 | dt: 277ms | tok/sec: 947,268 | mfu: 46.3% | epoch: 1 | remaining: 274s    
step 00106 (8.8%) | loss: 3.925365 | lrm: 1.00 | dt: 279ms | tok/sec: 938,857 | mfu: 45.9% | epoch: 1 | remaining: 273s    
step 00107 (8.9%) | loss: 3.913297 | lrm: 1.00 | dt: 278ms | tok/sec: 944,265 | mfu: 46.2% | epoch: 1 | remaining: 273s    
step 00108 (9.0%) | loss: 3.904410 | lrm: 1.00 | dt: 276ms | tok/sec: 951,300 | mfu: 46.5% | epoch: 1 | remaining: 273s    
step 00109 (9.1%) | loss: 3.894992 | lrm: 1.00 | dt: 276ms | tok/sec: 948,991 | mfu: 46.4% | epoch: 1 | remaining: 272s    
step 00110 (9.2%) | loss: 3.882139 | lrm: 1.00 | dt: 276ms | tok/sec: 950,935 | mfu: 46.5% | epoch: 1 | remaining: 272s    
step 00111 (9.3%) | loss: 3.866266 | lrm: 1.00 | dt: 277ms | tok/sec: 945,639 | mfu: 46.2% | epoch: 1 | remaining: 272s    
step 00112 (9.4%) | loss: 3.848721 | lrm: 1.00 | dt: 278ms | tok/sec: 944,386 | mfu: 46.2% | epoch: 1 | remaining: 272s    
step 00113 (9.4%) | loss: 3.842346 | lrm: 1.00 | dt: 278ms | tok/sec: 941,800 | mfu: 46.0% | epoch: 1 | remaining: 271s    
step 00114 (9.5%) | loss: 3.832969 | lrm: 1.00 | dt: 275ms | tok/sec: 953,706 | mfu: 46.6% | epoch: 1 | remaining: 271s    
step 00115 (9.6%) | loss: 3.821702 | lrm: 1.00 | dt: 276ms | tok/sec: 949,019 | mfu: 46.4% | epoch: 1 | remaining: 271s    
step 00116 (9.7%) | loss: 3.808515 | lrm: 1.00 | dt: 279ms | tok/sec: 940,672 | mfu: 46.0% | epoch: 1 | remaining: 271s    
