Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSS'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.128816e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011339 | lrm: 1.00 | dt: 19522ms | tok/sec: 13,428 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.198384 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,754 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.968073 | lrm: 1.00 | dt: 263ms | tok/sec: 995,300 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.587909 | lrm: 1.00 | dt: 264ms | tok/sec: 993,735 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.189365 | lrm: 1.00 | dt: 287ms | tok/sec: 912,960 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.813433 | lrm: 1.00 | dt: 269ms | tok/sec: 975,924 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.507814 | lrm: 1.00 | dt: 265ms | tok/sec: 991,060 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.262037 | lrm: 1.00 | dt: 303ms | tok/sec: 865,432 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.046074 | lrm: 1.00 | dt: 271ms | tok/sec: 967,060 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.861893 | lrm: 1.00 | dt: 267ms | tok/sec: 983,414 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.706955 | lrm: 1.00 | dt: 289ms | tok/sec: 907,251 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.568972 | lrm: 1.00 | dt: 272ms | tok/sec: 962,018 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.442680 | lrm: 1.00 | dt: 271ms | tok/sec: 967,193 | mfu: 40.4% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.340637 | lrm: 1.00 | dt: 274ms | tok/sec: 957,951 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.246031 | lrm: 1.00 | dt: 269ms | tok/sec: 974,938 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 6.162004 | lrm: 1.00 | dt: 273ms | tok/sec: 960,788 | mfu: 40.1% | epoch: 1 | remaining: 299s    
step 00016 (0.5%) | loss: 6.090044 | lrm: 1.00 | dt: 270ms | tok/sec: 970,926 | mfu: 40.5% | epoch: 1 | remaining: 298s    
step 00017 (0.5%) | loss: 6.020946 | lrm: 1.00 | dt: 272ms | tok/sec: 963,397 | mfu: 40.2% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 5.957546 | lrm: 1.00 | dt: 271ms | tok/sec: 966,703 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 5.900257 | lrm: 1.00 | dt: 272ms | tok/sec: 962,467 | mfu: 40.2% | epoch: 1 | remaining: 298s    
step 00020 (0.8%) | loss: 5.848278 | lrm: 1.00 | dt: 273ms | tok/sec: 959,753 | mfu: 40.0% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 5.797910 | lrm: 1.00 | dt: 270ms | tok/sec: 972,392 | mfu: 40.6% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 5.757473 | lrm: 1.00 | dt: 271ms | tok/sec: 966,962 | mfu: 40.3% | epoch: 1 | remaining: 297s    
step 00023 (1.1%) | loss: 5.715784 | lrm: 1.00 | dt: 270ms | tok/sec: 972,090 | mfu: 40.6% | epoch: 1 | remaining: 296s    
step 00024 (1.2%) | loss: 5.679390 | lrm: 1.00 | dt: 277ms | tok/sec: 947,684 | mfu: 39.5% | epoch: 1 | remaining: 296s    
step 00025 (1.3%) | loss: 5.642017 | lrm: 1.00 | dt: 270ms | tok/sec: 971,938 | mfu: 40.6% | epoch: 1 | remaining: 296s    
step 00026 (1.4%) | loss: 5.610129 | lrm: 1.00 | dt: 271ms | tok/sec: 968,107 | mfu: 40.4% | epoch: 1 | remaining: 296s    
step 00027 (1.4%) | loss: 5.577680 | lrm: 1.00 | dt: 272ms | tok/sec: 962,630 | mfu: 40.2% | epoch: 1 | remaining: 295s    
step 00028 (1.5%) | loss: 5.550692 | lrm: 1.00 | dt: 272ms | tok/sec: 964,571 | mfu: 40.2% | epoch: 1 | remaining: 295s    
step 00029 (1.6%) | loss: 5.520312 | lrm: 1.00 | dt: 281ms | tok/sec: 933,974 | mfu: 39.0% | epoch: 1 | remaining: 295s    
step 00030 (1.7%) | loss: 5.487622 | lrm: 1.00 | dt: 270ms | tok/sec: 970,848 | mfu: 40.5% | epoch: 1 | remaining: 295s    
step 00031 (1.8%) | loss: 5.461740 | lrm: 1.00 | dt: 271ms | tok/sec: 965,886 | mfu: 40.3% | epoch: 1 | remaining: 294s    
step 00032 (1.9%) | loss: 5.435229 | lrm: 1.00 | dt: 273ms | tok/sec: 960,273 | mfu: 40.1% | epoch: 1 | remaining: 294s    
step 00033 (2.0%) | loss: 5.412198 | lrm: 1.00 | dt: 270ms | tok/sec: 969,182 | mfu: 40.4% | epoch: 1 | remaining: 294s    
step 00034 (2.1%) | loss: 5.385203 | lrm: 1.00 | dt: 272ms | tok/sec: 963,702 | mfu: 40.2% | epoch: 1 | remaining: 293s    
step 00035 (2.2%) | loss: 5.357176 | lrm: 1.00 | dt: 273ms | tok/sec: 961,052 | mfu: 40.1% | epoch: 1 | remaining: 293s    
step 00036 (2.3%) | loss: 5.330539 | lrm: 1.00 | dt: 273ms | tok/sec: 959,400 | mfu: 40.0% | epoch: 1 | remaining: 293s    
step 00037 (2.4%) | loss: 5.305943 | lrm: 1.00 | dt: 272ms | tok/sec: 963,471 | mfu: 40.2% | epoch: 1 | remaining: 293s    
step 00038 (2.4%) | loss: 5.279621 | lrm: 1.00 | dt: 269ms | tok/sec: 974,566 | mfu: 40.7% | epoch: 1 | remaining: 292s    
step 00039 (2.5%) | loss: 5.255390 | lrm: 1.00 | dt: 272ms | tok/sec: 963,260 | mfu: 40.2% | epoch: 1 | remaining: 292s    
step 00040 (2.6%) | loss: 5.234673 | lrm: 1.00 | dt: 270ms | tok/sec: 969,295 | mfu: 40.4% | epoch: 1 | remaining: 292s    
