run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	0	a0	0	ok	1.002279	1.002279	0.43533560000000004
2	0	a0	1	ok	1.002351	1.002279	0.43538199999999994
3	0	a0	2	ok	1.002712	1.002279	0.4111822
4	0	a0	3	ok	1.002703	1.002279	0.4343476
5	0	a0	4	ok	1.002496	1.002279	0.4128122000000001
6	1	a0	0	ok	1.016037	1.002279	0.4372986
7	1	a0	1	ok	1.016254	1.002279	0.4588172000000001
8	1	a0	2	crash		1.002279	0.5953885999999998
9	1	a0	3	ok	1.016225	1.002279	0.48526220000000003
10	1	a0	4	ok	1.015935	1.002279	0.4970938
11	2	a0	0	ok	1.005825	1.002279	0.4638880000000001
12	2	a0	1	ok	1.006023	1.002279	0.296562
13	2	a0	2	ok	1.005816	1.002279	0.37460560000000004
14	2	a0	3	ok	1.005762	1.002279	0.5213817999999999
15	2	a0	4	ok	1.005993	1.002279	0.3760316
16	3	a0	0	ok	1.004892	1.002279	0.4106856
17	3	a0	1	ok	1.005098	1.002279	0.41645659999999995
18	3	a0	2	ok	1.004858	1.002279	0.4114308
19	3	a0	3	ok	1.005063	1.002279	0.410627
20	3	a0	4	ok	1.005052	1.002279	0.41041399999999995
21	4	a0	0	ok	1.006195	1.002279	0.458767
22	4	a0	1	ok	1.005856	1.002279	0.46504720000000005
23	4	a0	2	ok	1.005875	1.002279	0.5716418
24	4	a0	3	ok	1.005651	1.002279	0.46435960000000004
25	4	a0	4	ok	1.005562	1.002279	0.46180720000000003
26	5	a0	0	ok	1.003733	1.002279	0.8033617999999999
27	5	a0	1	ok	1.004031	1.002279	0.7027258
28	5	a0	2	ok	1.003496	1.002279	0.8018793999999999
29	5	a0	3	ok	1.003675	1.002279	0.8034039999999998
30	5	a0	4	ok	1.00394	1.002279	0.8033009999999999
