Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011406 | lrm: 1.00 | dt: 10503ms | tok/sec: 49,915 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.214256 | lrm: 1.00 | dt: 519ms | tok/sec: 1,009,920 | mfu: 43.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.002028 | lrm: 1.00 | dt: 553ms | tok/sec: 947,665 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.599230 | lrm: 1.00 | dt: 545ms | tok/sec: 962,199 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.160565 | lrm: 1.00 | dt: 546ms | tok/sec: 959,911 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.783405 | lrm: 1.00 | dt: 530ms | tok/sec: 989,202 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.473030 | lrm: 1.00 | dt: 547ms | tok/sec: 958,943 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.218056 | lrm: 1.00 | dt: 534ms | tok/sec: 981,566 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.998812 | lrm: 1.00 | dt: 540ms | tok/sec: 970,441 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.809718 | lrm: 1.00 | dt: 539ms | tok/sec: 972,133 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.646500 | lrm: 1.00 | dt: 542ms | tok/sec: 967,775 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.508232 | lrm: 1.00 | dt: 537ms | tok/sec: 975,569 | mfu: 42.3% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.384832 | lrm: 1.00 | dt: 542ms | tok/sec: 967,701 | mfu: 41.9% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.274040 | lrm: 1.00 | dt: 540ms | tok/sec: 970,758 | mfu: 42.0% | epoch: 1 | remaining: 298s    
step 00014 (0.5%) | loss: 6.180513 | lrm: 1.00 | dt: 541ms | tok/sec: 969,761 | mfu: 42.0% | epoch: 1 | remaining: 298s    
step 00015 (0.7%) | loss: 6.096272 | lrm: 1.00 | dt: 542ms | tok/sec: 967,466 | mfu: 41.9% | epoch: 1 | remaining: 297s    
step 00016 (0.9%) | loss: 6.023994 | lrm: 1.00 | dt: 544ms | tok/sec: 962,910 | mfu: 41.7% | epoch: 1 | remaining: 297s    
step 00017 (1.1%) | loss: 5.956017 | lrm: 1.00 | dt: 540ms | tok/sec: 971,272 | mfu: 42.1% | epoch: 1 | remaining: 296s    
step 00018 (1.3%) | loss: 5.894686 | lrm: 1.00 | dt: 540ms | tok/sec: 970,091 | mfu: 42.0% | epoch: 1 | remaining: 296s    
step 00019 (1.4%) | loss: 5.838301 | lrm: 1.00 | dt: 545ms | tok/sec: 961,853 | mfu: 41.7% | epoch: 1 | remaining: 295s    
step 00020 (1.6%) | loss: 5.787014 | lrm: 1.00 | dt: 543ms | tok/sec: 964,760 | mfu: 41.8% | epoch: 1 | remaining: 295s    
step 00021 (1.8%) | loss: 5.739811 | lrm: 1.00 | dt: 544ms | tok/sec: 963,437 | mfu: 41.7% | epoch: 1 | remaining: 294s    
step 00022 (2.0%) | loss: 5.698358 | lrm: 1.00 | dt: 539ms | tok/sec: 972,811 | mfu: 42.1% | epoch: 1 | remaining: 294s    
step 00023 (2.2%) | loss: 5.657090 | lrm: 1.00 | dt: 545ms | tok/sec: 962,539 | mfu: 41.7% | epoch: 1 | remaining: 293s    
step 00024 (2.3%) | loss: 5.618136 | lrm: 1.00 | dt: 544ms | tok/sec: 963,916 | mfu: 41.8% | epoch: 1 | remaining: 292s    
step 00025 (2.5%) | loss: 5.583496 | lrm: 1.00 | dt: 547ms | tok/sec: 959,341 | mfu: 41.6% | epoch: 1 | remaining: 292s    
step 00026 (2.7%) | loss: 5.551488 | lrm: 1.00 | dt: 545ms | tok/sec: 961,999 | mfu: 41.7% | epoch: 1 | remaining: 291s    
step 00027 (2.9%) | loss: 5.521119 | lrm: 1.00 | dt: 539ms | tok/sec: 971,978 | mfu: 42.1% | epoch: 1 | remaining: 291s    
step 00028 (3.1%) | loss: 5.493683 | lrm: 1.00 | dt: 543ms | tok/sec: 966,158 | mfu: 41.8% | epoch: 1 | remaining: 290s    
step 00029 (3.3%) | loss: 5.465458 | lrm: 1.00 | dt: 543ms | tok/sec: 965,529 | mfu: 41.8% | epoch: 1 | remaining: 290s    
step 00030 (3.4%) | loss: 5.435806 | lrm: 1.00 | dt: 544ms | tok/sec: 963,798 | mfu: 41.7% | epoch: 1 | remaining: 289s    
