Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 9, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSS'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 44,237,600
  scalars                 : 18
  total                   : 80,937,778
Estimated FLOPs per token: 3.440688e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011406 | lrm: 1.00 | dt: 20192ms | tok/sec: 25,965 | mfu: 0.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.830743 | lrm: 1.00 | dt: 453ms | tok/sec: 1,156,532 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.384490 | lrm: 1.00 | dt: 477ms | tok/sec: 1,099,625 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.893738 | lrm: 1.00 | dt: 551ms | tok/sec: 952,364 | mfu: 33.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.493629 | lrm: 1.00 | dt: 586ms | tok/sec: 894,711 | mfu: 31.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.169727 | lrm: 1.00 | dt: 527ms | tok/sec: 994,159 | mfu: 34.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.925001 | lrm: 1.00 | dt: 485ms | tok/sec: 1,080,420 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.716177 | lrm: 1.00 | dt: 473ms | tok/sec: 1,109,349 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.539434 | lrm: 1.00 | dt: 468ms | tok/sec: 1,121,424 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.392444 | lrm: 1.00 | dt: 495ms | tok/sec: 1,059,627 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.267096 | lrm: 1.00 | dt: 463ms | tok/sec: 1,132,420 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.162429 | lrm: 1.00 | dt: 486ms | tok/sec: 1,078,820 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00012 (0.2%) | loss: 6.069391 | lrm: 1.00 | dt: 478ms | tok/sec: 1,096,244 | mfu: 38.1% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 5.986206 | lrm: 1.00 | dt: 526ms | tok/sec: 996,177 | mfu: 34.6% | epoch: 1 | remaining: 299s    
step 00014 (0.5%) | loss: 5.916470 | lrm: 1.00 | dt: 534ms | tok/sec: 982,321 | mfu: 34.2% | epoch: 1 | remaining: 298s    
step 00015 (0.7%) | loss: 5.854215 | lrm: 1.00 | dt: 461ms | tok/sec: 1,138,298 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00016 (0.8%) | loss: 5.799472 | lrm: 1.00 | dt: 472ms | tok/sec: 1,110,553 | mfu: 38.6% | epoch: 1 | remaining: 297s    
step 00017 (1.0%) | loss: 5.745648 | lrm: 1.00 | dt: 471ms | tok/sec: 1,112,061 | mfu: 38.7% | epoch: 1 | remaining: 297s    
step 00018 (1.1%) | loss: 5.697149 | lrm: 1.00 | dt: 496ms | tok/sec: 1,056,710 | mfu: 36.7% | epoch: 1 | remaining: 296s    
step 00019 (1.3%) | loss: 5.651684 | lrm: 1.00 | dt: 479ms | tok/sec: 1,094,673 | mfu: 38.1% | epoch: 1 | remaining: 296s    
step 00020 (1.5%) | loss: 5.608915 | lrm: 1.00 | dt: 496ms | tok/sec: 1,056,593 | mfu: 36.7% | epoch: 1 | remaining: 295s    
step 00021 (1.6%) | loss: 5.567069 | lrm: 1.00 | dt: 468ms | tok/sec: 1,119,082 | mfu: 38.9% | epoch: 1 | remaining: 295s    
step 00022 (1.8%) | loss: 5.529674 | lrm: 1.00 | dt: 481ms | tok/sec: 1,089,084 | mfu: 37.9% | epoch: 1 | remaining: 294s    
step 00023 (1.9%) | loss: 5.490087 | lrm: 1.00 | dt: 469ms | tok/sec: 1,118,758 | mfu: 38.9% | epoch: 1 | remaining: 294s    
step 00024 (2.1%) | loss: 5.451733 | lrm: 1.00 | dt: 481ms | tok/sec: 1,090,248 | mfu: 37.9% | epoch: 1 | remaining: 293s    
step 00025 (2.3%) | loss: 5.416332 | lrm: 1.00 | dt: 470ms | tok/sec: 1,114,521 | mfu: 38.8% | epoch: 1 | remaining: 293s    
step 00026 (2.4%) | loss: 5.382622 | lrm: 1.00 | dt: 471ms | tok/sec: 1,114,256 | mfu: 38.7% | epoch: 1 | remaining: 292s    
step 00027 (2.6%) | loss: 5.349454 | lrm: 1.00 | dt: 472ms | tok/sec: 1,109,837 | mfu: 38.6% | epoch: 1 | remaining: 292s    
step 00028 (2.7%) | loss: 5.318746 | lrm: 1.00 | dt: 470ms | tok/sec: 1,116,356 | mfu: 38.8% | epoch: 1 | remaining: 291s    
step 00029 (2.9%) | loss: 5.287257 | lrm: 1.00 | dt: 483ms | tok/sec: 1,084,396 | mfu: 37.7% | epoch: 1 | remaining: 291s    
step 00030 (3.1%) | loss: 5.254094 | lrm: 1.00 | dt: 468ms | tok/sec: 1,119,152 | mfu: 38.9% | epoch: 1 | remaining: 290s    
