Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 8285ms | tok/sec: 63,280 | mfu: 1.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.856584 | lrm: 1.00 | dt: 346ms | tok/sec: 1,516,410 | mfu: 36.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.431910 | lrm: 1.00 | dt: 441ms | tok/sec: 1,188,236 | mfu: 28.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.959787 | lrm: 1.00 | dt: 573ms | tok/sec: 915,106 | mfu: 22.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.557023 | lrm: 1.00 | dt: 403ms | tok/sec: 1,299,404 | mfu: 31.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.230059 | lrm: 1.00 | dt: 374ms | tok/sec: 1,401,723 | mfu: 33.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.978993 | lrm: 1.00 | dt: 469ms | tok/sec: 1,118,522 | mfu: 27.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.766843 | lrm: 1.00 | dt: 420ms | tok/sec: 1,248,019 | mfu: 30.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.587707 | lrm: 1.00 | dt: 446ms | tok/sec: 1,175,675 | mfu: 28.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.437199 | lrm: 1.00 | dt: 419ms | tok/sec: 1,252,435 | mfu: 30.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.309244 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,949 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.203457 | lrm: 1.00 | dt: 435ms | tok/sec: 1,205,651 | mfu: 29.1% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.111432 | lrm: 1.00 | dt: 427ms | tok/sec: 1,227,948 | mfu: 29.7% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.027945 | lrm: 1.00 | dt: 498ms | tok/sec: 1,052,987 | mfu: 25.4% | epoch: 1 | remaining: 299s    
step 00014 (0.5%) | loss: 5.955866 | lrm: 1.00 | dt: 440ms | tok/sec: 1,190,391 | mfu: 28.8% | epoch: 1 | remaining: 298s    
step 00015 (0.6%) | loss: 5.889902 | lrm: 1.00 | dt: 403ms | tok/sec: 1,301,256 | mfu: 31.4% | epoch: 1 | remaining: 298s    
step 00016 (0.7%) | loss: 5.832640 | lrm: 1.00 | dt: 353ms | tok/sec: 1,486,739 | mfu: 35.9% | epoch: 1 | remaining: 297s    
step 00017 (0.9%) | loss: 5.776763 | lrm: 1.00 | dt: 356ms | tok/sec: 1,471,448 | mfu: 35.6% | epoch: 1 | remaining: 297s    
step 00018 (1.0%) | loss: 5.726170 | lrm: 1.00 | dt: 471ms | tok/sec: 1,113,494 | mfu: 26.9% | epoch: 1 | remaining: 297s    
step 00019 (1.1%) | loss: 5.678754 | lrm: 1.00 | dt: 356ms | tok/sec: 1,473,887 | mfu: 35.6% | epoch: 1 | remaining: 296s    
step 00020 (1.2%) | loss: 5.634808 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,172 | mfu: 38.5% | epoch: 1 | remaining: 296s    
step 00021 (1.4%) | loss: 5.592467 | lrm: 1.00 | dt: 424ms | tok/sec: 1,235,080 | mfu: 29.8% | epoch: 1 | remaining: 296s    
step 00022 (1.5%) | loss: 5.553524 | lrm: 1.00 | dt: 465ms | tok/sec: 1,128,075 | mfu: 27.3% | epoch: 1 | remaining: 295s    
step 00023 (1.7%) | loss: 5.512437 | lrm: 1.00 | dt: 443ms | tok/sec: 1,184,619 | mfu: 28.6% | epoch: 1 | remaining: 295s    
step 00024 (1.8%) | loss: 5.473773 | lrm: 1.00 | dt: 455ms | tok/sec: 1,151,256 | mfu: 27.8% | epoch: 1 | remaining: 294s    
step 00025 (2.0%) | loss: 5.437744 | lrm: 1.00 | dt: 417ms | tok/sec: 1,256,315 | mfu: 30.4% | epoch: 1 | remaining: 294s    
step 00026 (2.1%) | loss: 5.402956 | lrm: 1.00 | dt: 413ms | tok/sec: 1,270,560 | mfu: 30.7% | epoch: 1 | remaining: 293s    
step 00027 (2.2%) | loss: 5.369554 | lrm: 1.00 | dt: 426ms | tok/sec: 1,231,938 | mfu: 29.8% | epoch: 1 | remaining: 293s    
step 00028 (2.4%) | loss: 5.338524 | lrm: 1.00 | dt: 340ms | tok/sec: 1,543,589 | mfu: 37.3% | epoch: 1 | remaining: 293s    
step 00029 (2.5%) | loss: 5.306492 | lrm: 1.00 | dt: 413ms | tok/sec: 1,270,928 | mfu: 30.7% | epoch: 1 | remaining: 292s    
step 00030 (2.6%) | loss: 5.273148 | lrm: 1.00 | dt: 409ms | tok/sec: 1,282,789 | mfu: 31.0% | epoch: 1 | remaining: 292s    
step 00031 (2.8%) | loss: 5.239828 | lrm: 1.00 | dt: 357ms | tok/sec: 1,469,165 | mfu: 35.5% | epoch: 1 | remaining: 291s    
step 00032 (2.9%) | loss: 5.208208 | lrm: 1.00 | dt: 399ms | tok/sec: 1,315,612 | mfu: 31.8% | epoch: 1 | remaining: 291s    
step 00033 (3.0%) | loss: 5.179217 | lrm: 1.00 | dt: 414ms | tok/sec: 1,266,591 | mfu: 30.6% | epoch: 1 | remaining: 291s    
step 00034 (3.1%) | loss: 5.144601 | lrm: 1.00 | dt: 315ms | tok/sec: 1,661,890 | mfu: 40.2% | epoch: 1 | remaining: 290s    
step 00035 (3.3%) | loss: 5.114498 | lrm: 1.00 | dt: 420ms | tok/sec: 1,248,295 | mfu: 30.2% | epoch: 1 | remaining: 290s    
step 00036 (3.4%) | loss: 5.085590 | lrm: 1.00 | dt: 422ms | tok/sec: 1,241,645 | mfu: 30.0% | epoch: 1 | remaining: 289s    
step 00037 (3.5%) | loss: 5.055984 | lrm: 1.00 | dt: 345ms | tok/sec: 1,517,860 | mfu: 36.7% | epoch: 1 | remaining: 289s    
step 00038 (3.6%) | loss: 5.025956 | lrm: 1.00 | dt: 399ms | tok/sec: 1,315,269 | mfu: 31.8% | epoch: 1 | remaining: 289s    
step 00039 (3.8%) | loss: 4.997822 | lrm: 1.00 | dt: 387ms | tok/sec: 1,353,124 | mfu: 32.7% | epoch: 1 | remaining: 288s    
step 00040 (3.9%) | loss: 4.966095 | lrm: 1.00 | dt: 395ms | tok/sec: 1,327,587 | mfu: 32.1% | epoch: 1 | remaining: 288s    
step 00041 (4.0%) | loss: 4.937591 | lrm: 1.00 | dt: 429ms | tok/sec: 1,220,769 | mfu: 29.5% | epoch: 1 | remaining: 287s    
step 00042 (4.2%) | loss: 4.910559 | lrm: 1.00 | dt: 392ms | tok/sec: 1,336,015 | mfu: 32.3% | epoch: 1 | remaining: 287s    
step 00043 (4.3%) | loss: 4.880425 | lrm: 1.00 | dt: 403ms | tok/sec: 1,301,201 | mfu: 31.4% | epoch: 1 | remaining: 287s    
step 00044 (4.4%) | loss: 4.850408 | lrm: 1.00 | dt: 491ms | tok/sec: 1,068,624 | mfu: 25.8% | epoch: 1 | remaining: 286s    
step 00045 (4.6%) | loss: 4.821370 | lrm: 1.00 | dt: 451ms | tok/sec: 1,162,650 | mfu: 28.1% | epoch: 1 | remaining: 286s    
step 00046 (4.8%) | loss: 4.792420 | lrm: 1.00 | dt: 449ms | tok/sec: 1,168,973 | mfu: 28.2% | epoch: 1 | remaining: 285s    
step 00047 (4.9%) | loss: 4.755337 | lrm: 1.00 | dt: 418ms | tok/sec: 1,253,971 | mfu: 30.3% | epoch: 1 | remaining: 285s    
step 00048 (5.1%) | loss: 4.730206 | lrm: 1.00 | dt: 450ms | tok/sec: 1,164,714 | mfu: 28.1% | epoch: 1 | remaining: 284s    
step 00049 (5.2%) | loss: 4.699142 | lrm: 1.00 | dt: 395ms | tok/sec: 1,328,152 | mfu: 32.1% | epoch: 1 | remaining: 284s    
step 00050 (5.3%) | loss: 4.666733 | lrm: 1.00 | dt: 440ms | tok/sec: 1,190,727 | mfu: 28.8% | epoch: 1 | remaining: 284s    
step 00051 (5.5%) | loss: 4.638254 | lrm: 1.00 | dt: 434ms | tok/sec: 1,208,440 | mfu: 29.2% | epoch: 1 | remaining: 283s    
step 00052 (5.6%) | loss: 4.609247 | lrm: 1.00 | dt: 367ms | tok/sec: 1,428,077 | mfu: 34.5% | epoch: 1 | remaining: 283s    
step 00053 (5.7%) | loss: 4.582472 | lrm: 1.00 | dt: 411ms | tok/sec: 1,275,336 | mfu: 30.8% | epoch: 1 | remaining: 282s    
step 00054 (5.9%) | loss: 4.555694 | lrm: 1.00 | dt: 409ms | tok/sec: 1,282,618 | mfu: 31.0% | epoch: 1 | remaining: 282s    
step 00055 (6.0%) | loss: 4.526931 | lrm: 1.00 | dt: 394ms | tok/sec: 1,332,184 | mfu: 32.2% | epoch: 1 | remaining: 282s    
step 00056 (6.2%) | loss: 4.502817 | lrm: 1.00 | dt: 398ms | tok/sec: 1,317,404 | mfu: 31.8% | epoch: 1 | remaining: 281s    
step 00057 (6.3%) | loss: 4.478129 | lrm: 1.00 | dt: 374ms | tok/sec: 1,401,850 | mfu: 33.9% | epoch: 1 | remaining: 281s    
step 00058 (6.4%) | loss: 4.448242 | lrm: 1.00 | dt: 417ms | tok/sec: 1,257,130 | mfu: 30.4% | epoch: 1 | remaining: 280s    
step 00059 (6.5%) | loss: 4.427018 | lrm: 1.00 | dt: 395ms | tok/sec: 1,326,878 | mfu: 32.1% | epoch: 1 | remaining: 280s    
step 00060 (6.7%) | loss: 4.402856 | lrm: 1.00 | dt: 363ms | tok/sec: 1,444,511 | mfu: 34.9% | epoch: 1 | remaining: 280s    
step 00061 (6.8%) | loss: 4.376704 | lrm: 1.00 | dt: 441ms | tok/sec: 1,190,026 | mfu: 28.8% | epoch: 1 | remaining: 279s    
step 00062 (6.9%) | loss: 4.354912 | lrm: 1.00 | dt: 370ms | tok/sec: 1,418,173 | mfu: 34.3% | epoch: 1 | remaining: 279s    
step 00063 (7.1%) | loss: 4.329799 | lrm: 1.00 | dt: 414ms | tok/sec: 1,265,198 | mfu: 30.6% | epoch: 1 | remaining: 278s    
step 00064 (7.2%) | loss: 4.303501 | lrm: 1.00 | dt: 364ms | tok/sec: 1,439,896 | mfu: 34.8% | epoch: 1 | remaining: 278s    
step 00065 (7.3%) | loss: 4.274590 | lrm: 1.00 | dt: 383ms | tok/sec: 1,369,094 | mfu: 33.1% | epoch: 1 | remaining: 278s    
step 00066 (7.5%) | loss: 4.251403 | lrm: 1.00 | dt: 381ms | tok/sec: 1,374,730 | mfu: 33.2% | epoch: 1 | remaining: 277s    
step 00067 (7.6%) | loss: 4.230504 | lrm: 1.00 | dt: 469ms | tok/sec: 1,117,843 | mfu: 27.0% | epoch: 1 | remaining: 277s    
step 00068 (7.7%) | loss: 4.211149 | lrm: 1.00 | dt: 458ms | tok/sec: 1,145,002 | mfu: 27.7% | epoch: 1 | remaining: 276s    
step 00069 (7.9%) | loss: 4.190779 | lrm: 1.00 | dt: 415ms | tok/sec: 1,262,399 | mfu: 30.5% | epoch: 1 | remaining: 276s    
step 00070 (8.0%) | loss: 4.168064 | lrm: 1.00 | dt: 414ms | tok/sec: 1,265,062 | mfu: 30.6% | epoch: 1 | remaining: 275s    
step 00071 (8.2%) | loss: 4.151402 | lrm: 1.00 | dt: 386ms | tok/sec: 1,359,793 | mfu: 32.9% | epoch: 1 | remaining: 275s    
step 00072 (8.3%) | loss: 4.128366 | lrm: 1.00 | dt: 368ms | tok/sec: 1,424,302 | mfu: 34.4% | epoch: 1 | remaining: 275s    
step 00073 (8.4%) | loss: 4.101994 | lrm: 1.00 | dt: 386ms | tok/sec: 1,359,832 | mfu: 32.9% | epoch: 1 | remaining: 274s    
step 00074 (8.6%) | loss: 4.078855 | lrm: 1.00 | dt: 402ms | tok/sec: 1,305,758 | mfu: 31.5% | epoch: 1 | remaining: 274s    
step 00075 (8.7%) | loss: 4.061096 | lrm: 1.00 | dt: 397ms | tok/sec: 1,320,344 | mfu: 31.9% | epoch: 1 | remaining: 274s    
step 00076 (8.8%) | loss: 4.042819 | lrm: 1.00 | dt: 463ms | tok/sec: 1,132,999 | mfu: 27.4% | epoch: 1 | remaining: 273s    
step 00077 (9.0%) | loss: 4.026701 | lrm: 1.00 | dt: 418ms | tok/sec: 1,255,212 | mfu: 30.3% | epoch: 1 | remaining: 273s    
step 00078 (9.1%) | loss: 4.004039 | lrm: 1.00 | dt: 441ms | tok/sec: 1,189,046 | mfu: 28.7% | epoch: 1 | remaining: 272s    
step 00079 (9.3%) | loss: 3.987216 | lrm: 1.00 | dt: 402ms | tok/sec: 1,304,145 | mfu: 31.5% | epoch: 1 | remaining: 272s    
step 00080 (9.4%) | loss: 3.969137 | lrm: 1.00 | dt: 373ms | tok/sec: 1,407,410 | mfu: 34.0% | epoch: 1 | remaining: 271s    
step 00081 (9.5%) | loss: 3.951187 | lrm: 1.00 | dt: 432ms | tok/sec: 1,212,428 | mfu: 29.3% | epoch: 1 | remaining: 271s    
step 00082 (9.7%) | loss: 3.935174 | lrm: 1.00 | dt: 412ms | tok/sec: 1,272,486 | mfu: 30.7% | epoch: 1 | remaining: 271s    
step 00083 (9.8%) | loss: 3.919351 | lrm: 1.00 | dt: 373ms | tok/sec: 1,403,773 | mfu: 33.9% | epoch: 1 | remaining: 270s    
step 00084 (9.9%) | loss: 3.905837 | lrm: 1.00 | dt: 416ms | tok/sec: 1,259,089 | mfu: 30.4% | epoch: 1 | remaining: 270s    
step 00085 (10.1%) | loss: 3.897636 | lrm: 1.00 | dt: 477ms | tok/sec: 1,098,735 | mfu: 26.5% | epoch: 1 | remaining: 269s    
step 00086 (10.2%) | loss: 3.883711 | lrm: 1.00 | dt: 449ms | tok/sec: 1,168,448 | mfu: 28.2% | epoch: 1 | remaining: 269s    
step 00087 (10.4%) | loss: 3.869911 | lrm: 1.00 | dt: 422ms | tok/sec: 1,242,996 | mfu: 30.0% | epoch: 1 | remaining: 268s    
step 00088 (10.5%) | loss: 3.851661 | lrm: 1.00 | dt: 443ms | tok/sec: 1,184,148 | mfu: 28.6% | epoch: 1 | remaining: 268s    
step 00089 (10.7%) | loss: 3.834099 | lrm: 1.00 | dt: 446ms | tok/sec: 1,175,662 | mfu: 28.4% | epoch: 1 | remaining: 268s    
step 00090 (10.8%) | loss: 3.822178 | lrm: 1.00 | dt: 439ms | tok/sec: 1,195,231 | mfu: 28.9% | epoch: 1 | remaining: 267s    
step 00091 (11.0%) | loss: 3.806642 | lrm: 1.00 | dt: 431ms | tok/sec: 1,217,182 | mfu: 29.4% | epoch: 1 | remaining: 267s    
step 00092 (11.1%) | loss: 3.790489 | lrm: 1.00 | dt: 358ms | tok/sec: 1,463,816 | mfu: 35.4% | epoch: 1 | remaining: 266s    
step 00093 (11.2%) | loss: 3.780969 | lrm: 1.00 | dt: 446ms | tok/sec: 1,176,236 | mfu: 28.4% | epoch: 1 | remaining: 266s    
step 00094 (11.4%) | loss: 3.770874 | lrm: 1.00 | dt: 379ms | tok/sec: 1,383,164 | mfu: 33.4% | epoch: 1 | remaining: 266s    
step 00095 (11.5%) | loss: 3.764991 | lrm: 1.00 | dt: 426ms | tok/sec: 1,231,247 | mfu: 29.7% | epoch: 1 | remaining: 265s    
step 00096 (11.6%) | loss: 3.758919 | lrm: 1.00 | dt: 452ms | tok/sec: 1,161,196 | mfu: 28.1% | epoch: 1 | remaining: 265s    
step 00097 (11.8%) | loss: 3.745710 | lrm: 1.00 | dt: 390ms | tok/sec: 1,344,818 | mfu: 32.5% | epoch: 1 | remaining: 264s    
step 00098 (11.9%) | loss: 3.737718 | lrm: 1.00 | dt: 416ms | tok/sec: 1,260,546 | mfu: 30.5% | epoch: 1 | remaining: 264s    
step 00099 (12.1%) | loss: 3.729086 | lrm: 1.00 | dt: 428ms | tok/sec: 1,225,357 | mfu: 29.6% | epoch: 1 | remaining: 263s    
step 00100 (12.2%) | loss: 3.721198 | lrm: 1.00 | dt: 401ms | tok/sec: 1,305,977 | mfu: 31.6% | epoch: 1 | remaining: 263s    
step 00101 (12.3%) | loss: 3.708099 | lrm: 1.00 | dt: 433ms | tok/sec: 1,210,599 | mfu: 29.2% | epoch: 1 | remaining: 263s    
step 00102 (12.5%) | loss: 3.698187 | lrm: 1.00 | dt: 425ms | tok/sec: 1,233,083 | mfu: 29.8% | epoch: 1 | remaining: 262s    
step 00103 (12.6%) | loss: 3.691089 | lrm: 1.00 | dt: 379ms | tok/sec: 1,383,679 | mfu: 33.4% | epoch: 1 | remaining: 262s    
step 00104 (12.7%) | loss: 3.674108 | lrm: 1.00 | dt: 417ms | tok/sec: 1,256,256 | mfu: 30.4% | epoch: 1 | remaining: 261s    
step 00105 (12.9%) | loss: 3.667158 | lrm: 1.00 | dt: 405ms | tok/sec: 1,293,379 | mfu: 31.3% | epoch: 1 | remaining: 261s    
step 00106 (13.0%) | loss: 3.660204 | lrm: 1.00 | dt: 444ms | tok/sec: 1,180,412 | mfu: 28.5% | epoch: 1 | remaining: 261s    
step 00107 (13.2%) | loss: 3.649043 | lrm: 1.00 | dt: 483ms | tok/sec: 1,085,772 | mfu: 26.2% | epoch: 1 | remaining: 260s    
step 00108 (13.3%) | loss: 3.644271 | lrm: 1.00 | dt: 450ms | tok/sec: 1,166,224 | mfu: 28.2% | epoch: 1 | remaining: 260s    
step 00109 (13.5%) | loss: 3.632243 | lrm: 1.00 | dt: 455ms | tok/sec: 1,151,649 | mfu: 27.8% | epoch: 1 | remaining: 259s    
step 00110 (13.6%) | loss: 3.627321 | lrm: 1.00 | dt: 403ms | tok/sec: 1,301,686 | mfu: 31.5% | epoch: 1 | remaining: 259s    
step 00111 (13.8%) | loss: 3.623506 | lrm: 1.00 | dt: 434ms | tok/sec: 1,206,718 | mfu: 29.2% | epoch: 1 | remaining: 258s    
step 00112 (13.9%) | loss: 3.618798 | lrm: 1.00 | dt: 429ms | tok/sec: 1,223,398 | mfu: 29.6% | epoch: 1 | remaining: 258s    
step 00113 (14.0%) | loss: 3.609593 | lrm: 1.00 | dt: 462ms | tok/sec: 1,134,499 | mfu: 27.4% | epoch: 1 | remaining: 257s    
step 00114 (14.2%) | loss: 3.600137 | lrm: 1.00 | dt: 397ms | tok/sec: 1,321,734 | mfu: 31.9% | epoch: 1 | remaining: 257s    
step 00115 (14.3%) | loss: 3.598349 | lrm: 1.00 | dt: 389ms | tok/sec: 1,349,476 | mfu: 32.6% | epoch: 1 | remaining: 257s    
step 00116 (14.5%) | loss: 3.593807 | lrm: 1.00 | dt: 414ms | tok/sec: 1,266,250 | mfu: 30.6% | epoch: 1 | remaining: 256s    
step 00117 (14.6%) | loss: 3.591315 | lrm: 1.00 | dt: 476ms | tok/sec: 1,100,348 | mfu: 26.6% | epoch: 1 | remaining: 256s    
step 00118 (14.8%) | loss: 3.588761 | lrm: 1.00 | dt: 375ms | tok/sec: 1,398,820 | mfu: 33.8% | epoch: 1 | remaining: 255s    
step 00119 (14.9%) | loss: 3.582207 | lrm: 1.00 | dt: 413ms | tok/sec: 1,270,507 | mfu: 30.7% | epoch: 1 | remaining: 255s    
step 00120 (15.0%) | loss: 3.579148 | lrm: 1.00 | dt: 424ms | tok/sec: 1,236,224 | mfu: 29.9% | epoch: 1 | remaining: 255s    
step 00121 (15.2%) | loss: 3.571147 | lrm: 1.00 | dt: 428ms | tok/sec: 1,225,134 | mfu: 29.6% | epoch: 1 | remaining: 254s    
step 00122 (15.3%) | loss: 3.560600 | lrm: 1.00 | dt: 441ms | tok/sec: 1,188,205 | mfu: 28.7% | epoch: 1 | remaining: 254s    
step 00123 (15.5%) | loss: 3.556379 | lrm: 1.00 | dt: 446ms | tok/sec: 1,175,747 | mfu: 28.4% | epoch: 1 | remaining: 253s    
step 00124 (15.6%) | loss: 3.556341 | lrm: 1.00 | dt: 402ms | tok/sec: 1,305,499 | mfu: 31.5% | epoch: 1 | remaining: 253s    
step 00125 (15.7%) | loss: 3.553574 | lrm: 1.00 | dt: 415ms | tok/sec: 1,262,956 | mfu: 30.5% | epoch: 1 | remaining: 252s    
step 00126 (15.9%) | loss: 3.547371 | lrm: 1.00 | dt: 404ms | tok/sec: 1,296,767 | mfu: 31.3% | epoch: 1 | remaining: 252s    
step 00127 (16.0%) | loss: 3.546590 | lrm: 1.00 | dt: 386ms | tok/sec: 1,358,934 | mfu: 32.8% | epoch: 1 | remaining: 252s    
step 00128 (16.1%) | loss: 3.540194 | lrm: 1.00 | dt: 417ms | tok/sec: 1,256,642 | mfu: 30.4% | epoch: 1 | remaining: 251s    
step 00129 (16.3%) | loss: 3.533412 | lrm: 1.00 | dt: 426ms | tok/sec: 1,231,007 | mfu: 29.7% | epoch: 1 | remaining: 251s    
step 00130 (16.4%) | loss: 3.528205 | lrm: 1.00 | dt: 419ms | tok/sec: 1,251,534 | mfu: 30.2% | epoch: 1 | remaining: 250s    
step 00131 (16.6%) | loss: 3.522280 | lrm: 1.00 | dt: 439ms | tok/sec: 1,193,052 | mfu: 28.8% | epoch: 1 | remaining: 250s    
step 00132 (16.7%) | loss: 3.517134 | lrm: 1.00 | dt: 422ms | tok/sec: 1,243,178 | mfu: 30.0% | epoch: 1 | remaining: 249s    
step 00133 (16.8%) | loss: 3.511771 | lrm: 1.00 | dt: 377ms | tok/sec: 1,392,163 | mfu: 33.6% | epoch: 1 | remaining: 249s    
step 00134 (17.0%) | loss: 3.507031 | lrm: 1.00 | dt: 438ms | tok/sec: 1,195,998 | mfu: 28.9% | epoch: 1 | remaining: 249s    
step 00135 (17.1%) | loss: 3.506045 | lrm: 1.00 | dt: 417ms | tok/sec: 1,256,061 | mfu: 30.3% | epoch: 1 | remaining: 248s    
step 00136 (17.3%) | loss: 3.499545 | lrm: 1.00 | dt: 430ms | tok/sec: 1,218,227 | mfu: 29.4% | epoch: 1 | remaining: 248s    
step 00137 (17.4%) | loss: 3.496126 | lrm: 1.00 | dt: 441ms | tok/sec: 1,188,614 | mfu: 28.7% | epoch: 1 | remaining: 247s    
step 00138 (17.5%) | loss: 3.487037 | lrm: 1.00 | dt: 426ms | tok/sec: 1,231,916 | mfu: 29.8% | epoch: 1 | remaining: 247s    
step 00139 (17.7%) | loss: 3.478712 | lrm: 1.00 | dt: 396ms | tok/sec: 1,323,753 | mfu: 32.0% | epoch: 1 | remaining: 247s    
step 00140 (17.8%) | loss: 3.473641 | lrm: 1.00 | dt: 423ms | tok/sec: 1,239,250 | mfu: 29.9% | epoch: 1 | remaining: 246s    
step 00141 (18.0%) | loss: 3.469433 | lrm: 1.00 | dt: 435ms | tok/sec: 1,204,888 | mfu: 29.1% | epoch: 1 | remaining: 246s    
step 00142 (18.1%) | loss: 3.468068 | lrm: 1.00 | dt: 479ms | tok/sec: 1,093,923 | mfu: 26.4% | epoch: 1 | remaining: 245s    
step 00143 (18.3%) | loss: 3.466184 | lrm: 1.00 | dt: 394ms | tok/sec: 1,330,263 | mfu: 32.1% | epoch: 1 | remaining: 245s    
step 00144 (18.4%) | loss: 3.461299 | lrm: 1.00 | dt: 436ms | tok/sec: 1,201,395 | mfu: 29.0% | epoch: 1 | remaining: 244s    
step 00145 (18.5%) | loss: 3.460271 | lrm: 1.00 | dt: 405ms | tok/sec: 1,293,485 | mfu: 31.3% | epoch: 1 | remaining: 244s    
step 00146 (18.7%) | loss: 3.460178 | lrm: 1.00 | dt: 436ms | tok/sec: 1,202,804 | mfu: 29.1% | epoch: 1 | remaining: 244s    
step 00147 (18.8%) | loss: 3.460720 | lrm: 1.00 | dt: 423ms | tok/sec: 1,238,052 | mfu: 29.9% | epoch: 1 | remaining: 243s    
step 00148 (19.0%) | loss: 3.462248 | lrm: 1.00 | dt: 387ms | tok/sec: 1,354,305 | mfu: 32.7% | epoch: 1 | remaining: 243s    
step 00149 (19.1%) | loss: 3.459382 | lrm: 1.00 | dt: 390ms | tok/sec: 1,343,697 | mfu: 32.5% | epoch: 1 | remaining: 242s    
step 00150 (19.2%) | loss: 3.451486 | lrm: 1.00 | dt: 420ms | tok/sec: 1,247,697 | mfu: 30.1% | epoch: 1 | remaining: 242s    
step 00151 (19.4%) | loss: 3.449276 | lrm: 1.00 | dt: 344ms | tok/sec: 1,525,625 | mfu: 36.9% | epoch: 1 | remaining: 242s    
step 00152 (19.5%) | loss: 3.446071 | lrm: 1.00 | dt: 452ms | tok/sec: 1,159,100 | mfu: 28.0% | epoch: 1 | remaining: 241s    
step 00153 (19.6%) | loss: 3.443660 | lrm: 1.00 | dt: 449ms | tok/sec: 1,166,750 | mfu: 28.2% | epoch: 1 | remaining: 241s    
step 00154 (19.8%) | loss: 3.441950 | lrm: 1.00 | dt: 426ms | tok/sec: 1,229,713 | mfu: 29.7% | epoch: 1 | remaining: 240s    
